Kueri Baseline;Kueri Refactored;Pola Properti Awal;Pola Properti Baru;Persentase Pengurangan;Jumlah Hasil;DBHits;Running Time
"MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance) WHERE (n4.category=""movie"") OR (n2.birth=1889) OR (n1.year=1934) RETURN count(n1)";"CALL () {
  MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance), (n2)-[:BORN_IN]->(:year_1889)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music)-[:RELEASED_IN]->(:year_1934), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance)-[:HAS_CATEGORY]->(:movie), (n2)-[:BORN_IN]->(:year_1889)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music)-[:RELEASED_IN]->(:year_1934), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music)-[:RELEASED_IN]->(:year_1934), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance), (n2)-[:BORN_IN]->(:year_1889)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:crime), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:music)-[:RELEASED_IN]->(:year_1934), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:romance)-[:HAS_CATEGORY]->(:movie), (n2)-[:BORN_IN]->(:year_1889)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;-;100%;636933;107016709;11430.3
"MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy) WHERE (n1.birth=1947) OR (n2.year=1970) OR (n4.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy), (n1)-[:BORN_IN]->(:year_1947)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)-[:RELEASED_IN]->(:year_1970)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama)-[:HAS_CATEGORY]->(:movie), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)-[:RELEASED_IN]->(:year_1970), (n1)-[:BORN_IN]->(:year_1947)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama)-[:HAS_CATEGORY]->(:movie), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy), (n1)-[:BORN_IN]->(:year_1947)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama)-[:HAS_CATEGORY]->(:movie), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)-[:RELEASED_IN]->(:year_1970)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:soundtrack)-[:COMPOSED]->(n4:drama)-[:HAS_CATEGORY]->(:movie), (n1:soundtrack)-[:COMPOSED]->(n3:biography), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)-[:RELEASED_IN]->(:year_1970), (n1)-[:BORN_IN]->(:year_1947)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;-;100%;18469421;210254050;23157.9
"MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music), (n3:actress)-[:ACTED_IN]->(n4:drama) WHERE (n1.year=2013) OR (n1.category=""video"") OR (n3.birth=1977) RETURN count(n1)";"CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music)-[:RELEASED_IN]->(:year_2013), (n3:actress)-[:ACTED_IN]->(n4:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music)-[:HAS_CATEGORY]->(:video), (n3:actress)-[:ACTED_IN]->(n4:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music), (n3:actress)-[:ACTED_IN]->(n4:drama), (n3)-[:BORN_IN]->(:year_1977)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music)-[:RELEASED_IN]->(:year_2013), (n3:actress)-[:ACTED_IN]->(n4:drama), (n1)-[:HAS_CATEGORY]->(:video)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music)-[:RELEASED_IN]->(:year_2013), (n3:actress)-[:ACTED_IN]->(n4:drama), (n3)-[:BORN_IN]->(:year_1977)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music)-[:HAS_CATEGORY]->(:video), (n3:actress)-[:ACTED_IN]->(n4:drama), (n3)-[:BORN_IN]->(:year_1977)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:producer)-[:ACTED_IN]->(n1:music)-[:RELEASED_IN]->(:year_2013), (n3:actress)-[:ACTED_IN]->(n4:drama), (n1)-[:HAS_CATEGORY]->(:video), (n3)-[:BORN_IN]->(:year_1977)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;-;100%;10841582;164385307;21911.1
"MATCH (n1:producer)-[:ACTED_IN]->(n2:sport), (n1:actor)-[:ACTED_IN]->(n3:sport), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport) WHERE (n2.category=""tvSpecial"") OR (n3.category=""tvSpecial"") OR (n1.death=0) RETURN count(n1)";"CALL () {
  MATCH (n1:producer)-[:ACTED_IN]->(n2:sport)-[:HAS_CATEGORY]->(:tvSpecial), (n1:actor)-[:ACTED_IN]->(n3:sport), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:producer)-[:ACTED_IN]->(n2:sport), (n1:actor)-[:ACTED_IN]->(n3:sport)-[:HAS_CATEGORY]->(:tvSpecial), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:producer)-[:ACTED_IN]->(n2:sport), (n1:actor)-[:ACTED_IN]->(n3:sport), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport), (n1)-[:DIED_IN]->(:year_0)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:producer)-[:ACTED_IN]->(n2:sport)-[:HAS_CATEGORY]->(:tvSpecial), (n1:actor)-[:ACTED_IN]->(n3:sport)-[:HAS_CATEGORY]->(:tvSpecial), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:producer)-[:ACTED_IN]->(n2:sport)-[:HAS_CATEGORY]->(:tvSpecial), (n1:actor)-[:ACTED_IN]->(n3:sport), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport), (n1)-[:DIED_IN]->(:year_0)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:producer)-[:ACTED_IN]->(n2:sport), (n1:actor)-[:ACTED_IN]->(n3:sport)-[:HAS_CATEGORY]->(:tvSpecial), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport), (n1)-[:DIED_IN]->(:year_0)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:producer)-[:ACTED_IN]->(n2:sport)-[:HAS_CATEGORY]->(:tvSpecial), (n1:actor)-[:ACTED_IN]->(n3:sport)-[:HAS_CATEGORY]->(:tvSpecial), (n1:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:sport), (n1)-[:DIED_IN]->(:year_0)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;-;100%;TIMEOUT;TIMEOUT;TIMEOUT
"MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:actor)-[:ACTED_IN]->(n2:music), (n4:actor)-[:ACTED_IN]->(n1:talk_show) WHERE (n3.category=""tvSeries"") OR (n2.category=""tvSeries"") OR (n4.name=""Marcel Amont"") RETURN count(n1)";"CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music)-[:HAS_CATEGORY]->(:tvSeries), (n4:actor)-[:ACTED_IN]->(n2:music), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:actor)-[:ACTED_IN]->(n2:music)-[:HAS_CATEGORY]->(:tvSeries), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:actor)-[:ACTED_IN]->(n2:music), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  WHERE n4.name=""Marcel Amont""
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music)-[:HAS_CATEGORY]->(:tvSeries), (n4:actor)-[:ACTED_IN]->(n2:music)-[:HAS_CATEGORY]->(:tvSeries), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music)-[:HAS_CATEGORY]->(:tvSeries), (n4:actor)-[:ACTED_IN]->(n2:music), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  WHERE n4.name=""Marcel Amont""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:actor)-[:ACTED_IN]->(n2:music)-[:HAS_CATEGORY]->(:tvSeries), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  WHERE n4.name=""Marcel Amont""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n4:soundtrack)-[:ACTED_IN]->(n3:music)-[:HAS_CATEGORY]->(:tvSeries), (n4:actor)-[:ACTED_IN]->(n2:music)-[:HAS_CATEGORY]->(:tvSeries), (n4:actor)-[:ACTED_IN]->(n1:talk_show)
  WHERE n4.name=""Marcel Amont""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;A;67%;478653584;2477192355;518045.6
"MATCH (n2:director)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""short"") OR (n1.category=""tvSeries"") OR (n3.year=2017) RETURN count(n1)";"CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n3:drama)-[:HAS_CATEGORY]->(:short)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy)-[:HAS_CATEGORY]->(:tvSeries), (n2:actor)-[:ACTED_IN]->(n3:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n3:drama)-[:RELEASED_IN]->(:year_2017)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy)-[:HAS_CATEGORY]->(:tvSeries), (n2:actor)-[:ACTED_IN]->(n3:drama)-[:HAS_CATEGORY]->(:short)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n3:drama)-[:HAS_CATEGORY]->(:short), (n3)-[:RELEASED_IN]->(:year_2017)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy)-[:HAS_CATEGORY]->(:tvSeries), (n2:actor)-[:ACTED_IN]->(n3:drama)-[:RELEASED_IN]->(:year_2017)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:director)-[:ACTED_IN]->(n1:comedy)-[:HAS_CATEGORY]->(:tvSeries), (n2:actor)-[:ACTED_IN]->(n3:drama)-[:HAS_CATEGORY]->(:short), (n3)-[:RELEASED_IN]->(:year_2017)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;-;100%;2408451;95791760;91658.4
"MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history), (n1:actor)-[:ACTED_IN]->(n2:documentary) WHERE (n1.death=2021) OR (n3.year=2018) OR (n2.category=""video"") RETURN count(n1)";"CALL () {
  MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history), (n1:actor)-[:ACTED_IN]->(n2:documentary), (n1)-[:DIED_IN]->(:year_2021)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history)-[:RELEASED_IN]->(:year_2018), (n1:actor)-[:ACTED_IN]->(n2:documentary)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history), (n1:actor)-[:ACTED_IN]->(n2:documentary)-[:HAS_CATEGORY]->(:video)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history)-[:RELEASED_IN]->(:year_2018), (n1:actor)-[:ACTED_IN]->(n2:documentary), (n1)-[:DIED_IN]->(:year_2021)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history), (n1:actor)-[:ACTED_IN]->(n2:documentary)-[:HAS_CATEGORY]->(:video), (n1)-[:DIED_IN]->(:year_2021)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history)-[:RELEASED_IN]->(:year_2018), (n1:actor)-[:ACTED_IN]->(n2:documentary)-[:HAS_CATEGORY]->(:video)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:miscellaneous)-[:ACTED_IN]->(n3:history)-[:RELEASED_IN]->(:year_2018), (n1:actor)-[:ACTED_IN]->(n2:documentary)-[:HAS_CATEGORY]->(:video), (n1)-[:DIED_IN]->(:year_2021)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;-;100%;28738;34540376;9242.9
"MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama) WHERE (n1.year=1943) OR (n1.category=""movie"") OR (n3.death=1954) RETURN count(n1)";"CALL () {
  MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama)-[:RELEASED_IN]->(:year_1943)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama), (n3)-[:DIED_IN]->(:year_1954)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama)-[:RELEASED_IN]->(:year_1943), (n1)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama)-[:RELEASED_IN]->(:year_1943), (n3)-[:DIED_IN]->(:year_1954)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama)-[:HAS_CATEGORY]->(:movie), (n3)-[:DIED_IN]->(:year_1954)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:crime), (n3:director)-[:ACTED_IN]->(n1:drama)-[:RELEASED_IN]->(:year_1943), (n1)-[:HAS_CATEGORY]->(:movie), (n3)-[:DIED_IN]->(:year_1954)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;-;100%;1826;1359918;828.2
"MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama) WHERE (n4.death=2006) OR (n2.year=1956) OR (n3.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama), (n4)-[:DIED_IN]->(:year_2006)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama)-[:RELEASED_IN]->(:year_1956), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama)-[:RELEASED_IN]->(:year_1956), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama), (n4)-[:DIED_IN]->(:year_2006)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama)-[:HAS_CATEGORY]->(:movie), (n4)-[:DIED_IN]->(:year_2006)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama)-[:RELEASED_IN]->(:year_1956), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n4:soundtrack)-[:COMPOSED]->(n2:drama)-[:RELEASED_IN]->(:year_1956), (n4:composer)-[:COMPOSED]->(n1:documentary), (n4:composer)-[:COMPOSED]->(n3:drama)-[:HAS_CATEGORY]->(:movie), (n4)-[:DIED_IN]->(:year_2006)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;-;100%;73841554;1241473104;128994.9
"MATCH (n1:writer)-[:ACTED_IN]->(n2:sport), (n1:writer)-[:ACTED_IN]->(n3:sport) WHERE (n1.death=0) OR (n1.name=""Steve Austin"") OR (n2.category=""video"") RETURN count(n1)";"CALL () {
  MATCH (n1:writer)-[:ACTED_IN]->(n2:sport), (n1:writer)-[:ACTED_IN]->(n3:sport), (n1)-[:DIED_IN]->(:year_0)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:writer)-[:ACTED_IN]->(n2:sport), (n1:writer)-[:ACTED_IN]->(n3:sport)
  WHERE n1.name=""Steve Austin""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:writer)-[:ACTED_IN]->(n2:sport)-[:HAS_CATEGORY]->(:video), (n1:writer)-[:ACTED_IN]->(n3:sport)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:writer)-[:ACTED_IN]->(n2:sport), (n1:writer)-[:ACTED_IN]->(n3:sport), (n1)-[:DIED_IN]->(:year_0)
  WHERE n1.name=""Steve Austin""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:writer)-[:ACTED_IN]->(n2:sport)-[:HAS_CATEGORY]->(:video), (n1:writer)-[:ACTED_IN]->(n3:sport), (n1)-[:DIED_IN]->(:year_0)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:writer)-[:ACTED_IN]->(n2:sport)-[:HAS_CATEGORY]->(:video), (n1:writer)-[:ACTED_IN]->(n3:sport)
  WHERE n1.name=""Steve Austin""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:writer)-[:ACTED_IN]->(n2:sport)-[:HAS_CATEGORY]->(:video), (n1:writer)-[:ACTED_IN]->(n3:sport), (n1)-[:DIED_IN]->(:year_0)
  WHERE n1.name=""Steve Austin""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;A;67%;21123015;192200096;34526.2
"MATCH (n3:music_department)-[:PRODUCED]->(n2:action), (n3:producer)-[:ACTED_IN]->(n1:adventure) WHERE (n2.category=""movie"") OR (n3.death=0) OR (n3.name=""Jerry Bruckheimer"") RETURN count(n1)";"CALL () {
  MATCH (n3:music_department)-[:PRODUCED]->(n2:action)-[:HAS_CATEGORY]->(:movie), (n3:producer)-[:ACTED_IN]->(n1:adventure)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:music_department)-[:PRODUCED]->(n2:action), (n3:producer)-[:ACTED_IN]->(n1:adventure), (n3)-[:DIED_IN]->(:year_0)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:music_department)-[:PRODUCED]->(n2:action), (n3:producer)-[:ACTED_IN]->(n1:adventure)
  WHERE n3.name=""Jerry Bruckheimer""
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:music_department)-[:PRODUCED]->(n2:action)-[:HAS_CATEGORY]->(:movie), (n3:producer)-[:ACTED_IN]->(n1:adventure), (n3)-[:DIED_IN]->(:year_0)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:music_department)-[:PRODUCED]->(n2:action)-[:HAS_CATEGORY]->(:movie), (n3:producer)-[:ACTED_IN]->(n1:adventure)
  WHERE n3.name=""Jerry Bruckheimer""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:music_department)-[:PRODUCED]->(n2:action), (n3:producer)-[:ACTED_IN]->(n1:adventure), (n3)-[:DIED_IN]->(:year_0)
  WHERE n3.name=""Jerry Bruckheimer""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:music_department)-[:PRODUCED]->(n2:action)-[:HAS_CATEGORY]->(:movie), (n3:producer)-[:ACTED_IN]->(n1:adventure), (n3)-[:DIED_IN]->(:year_0)
  WHERE n3.name=""Jerry Bruckheimer""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;A;67%;159;1125490;413.6
"MATCH (n1:music_department)-[:COMPOSED]->(n3:drama), (n1:soundtrack)-[:COMPOSED]->(n2:comedy) WHERE (n1.name=""Kai Normann Andersen"") OR (n3.year=1948) OR (n3.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  WHERE n1.name=""Kai Normann Andersen""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama)-[:RELEASED_IN]->(:year_1948), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama)-[:HAS_CATEGORY]->(:movie), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama)-[:RELEASED_IN]->(:year_1948), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  WHERE n1.name=""Kai Normann Andersen""
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama)-[:HAS_CATEGORY]->(:movie), (n1:soundtrack)-[:COMPOSED]->(n2:comedy)
  WHERE n1.name=""Kai Normann Andersen""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama)-[:RELEASED_IN]->(:year_1948), (n1:soundtrack)-[:COMPOSED]->(n2:comedy), (n3)-[:HAS_CATEGORY]->(:movie)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n1:music_department)-[:COMPOSED]->(n3:drama)-[:RELEASED_IN]->(:year_1948), (n1:soundtrack)-[:COMPOSED]->(n2:comedy), (n3)-[:HAS_CATEGORY]->(:movie)
  WHERE n1.name=""Kai Normann Andersen""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";A OR B OR C;A;67%;1455429;21252373;4013.3
